"13,832",0.00,0.0,,2.7,116.09,6.4,0.7,0.0,2.4
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.26,94.98,1.4,5,485,8.0,1.16,3.7,12930121
 
 
Sample Name,sample 9
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,40.4,43.00,94.3,1.2,0.0,96.3
"10,380",75.00,10.9,Upper Marker,127.2,113.00,133.7,3.6,0.0,117.1
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.26,94.98,1.9,9,335,42.3,1.94,10.2,12930121
 
 
Sample Name,sample 10
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,35.7,43.00,81.6,1.2,0.0,84.6
"10,380",75.00,10.9,Upper Marker,119.1,113.00,116.8,4.3,0.0,109.4
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.26,94.98,2.3,14,414,41.7,2.41,10.8,12930121
 
 
Sample Name,sample 11
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,41.5,43.00,96.7,1.1,0.0,98.1
40,8.41,315.8,,2.7,43.85,6.5,0.8,100.0,6.4
"10,380",75.00,10.9,Upper Marker,132.4,113.00,144.0,3.5,0.0,122.1
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.26,94.98,2.4,11,253,19.8,2.51,15.5,12930121
 
 
Sample Name,Ladder
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,160.3,43.00,79.4,1.3,0.0,160.3
50,150.00,"4,545.5",Ladder Peak,210.2,45.36,100.5,1.0,0.0,210.2
100,150.00,"2,272.7",Ladder Peak,208.3,50.90,131.8,1.1,0.0,208.3
150,150.00,"1,515.2",Ladder Peak,221.3,55.58,151.3,0.9,0.0,221.3
200,150.00,"1,136.4",Ladder Peak,242.0,60.26,173.2,1.4,0.0,242.0
300,150.00,757.6,Ladder Peak,270.2,69.39,195.1,2.0,0.0,270.2
400,150.00,568.2,Ladder Peak,304.8,77.53,210.9,2.2,0.0,304.8
500,150.00,454.5,Ladder Peak,306.3,83.25,224.1,2.3,0.0,306.3
600,150.00,378.8,Ladder Peak,336.2,87.84,240.4,2.0,0.0,336.2
700,150.00,324.7,Ladder Peak,321.1,90.96,237.3,2.5,0.0,321.1
"1,000",150.00,227.3,Ladder Peak,365.8,94.98,221.8,2.7,0.0,365.8
"2,000",150.00,113.6,Ladder Peak,412.7,101.55,279.6,2.3,0.0,412.7
"3,000",150.00,75.8,Ladder Peak,411.4,104.86,294.9,2.4,0.0,411.4
"7,000",150.00,32.5,Ladder Peak,399.5,109.97,178.2,2.3,0.0,399.5
"10,380",75.00,10.9,Upper Marker,213.6,113.00,129.9,2.4,0.0,213.6
 
Overall Results:
Noise:,0.4749339,
