Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Friday, March 13, 2020 5:24:22 PM"
Date Last Modified,"Monday, November 02, 2020 4:48:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,sample 1
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
"1,808",23.69,19.8,,32.6,100.01,31.9,1.0,0.8,29.2
"1,994",13.04,9.9,,18.6,101.10,26.4,0.7,0.4,16.4
"2,434",11.39,7.1,,16.4,102.36,21.1,0.7,0.4,14.3
"2,701",8.71,4.9,,12.6,103.11,18.7,0.6,0.3,10.9
"2,909",7.00,3.6,,10.2,103.70,15.4,0.6,0.2,8.8
"3,909",5.65,2.2,,8.3,105.21,10.4,0.8,0.2,7.0
"5,855",9.73,2.5,,14.5,107.89,10.0,1.6,0.3,12.0
"6,980",2.28,0.5,,3.4,109.44,6.1,0.5,0.1,2.8
"7,615",2.09,0.4,,3.2,110.11,6.2,0.6,-0.3,2.6
"10,380",75.00,10.9,Upper Marker,124.5,113.00,73.0,3.7,0.0,97.7
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.50,95.29,"4,320.9",86,539,32.6,"4,586.15","15,179.5",12930121
 
 
Sample Name,sample 2
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,43.8,43.00,101.7,0.8,0.0,97.6
87,26.59,465.1,,12.9,49.40,10.7,1.7,0.3,24.6
92,14.24,234.8,,7.0,50.00,11.4,0.6,0.2,13.2
106,23.39,333.2,,12.0,51.52,15.8,0.7,0.3,21.8
120,43.25,546.5,,23.1,52.84,21.9,1.1,0.5,40.9
130,126.08,"1,469.4",,69.6,53.81,61.3,1.5,1.6,120.7
147,36.01,372.0,,20.9,55.42,34.3,0.6,0.5,35.2
168,55.79,501.8,,35.1,57.50,40.8,0.8,0.7,56.6
176,66.42,570.3,,43.0,58.26,46.3,0.8,0.9,68.4
182,50.84,422.6,,33.6,58.81,50.7,0.6,0.7,52.9
199,80.16,609.6,,56.2,60.43,61.3,0.8,1.1,85.8
215,109.73,773.0,,80.5,61.91,70.1,1.1,1.5,119.7
227,134.37,895.5,,101.9,63.05,86.1,1.1,1.9,148.7
254,228.89,"1,364.6",,186.5,65.56,115.0,1.5,3.4,260.9
293,138.42,715.3,,124.7,69.20,127.6,0.8,2.1,164.5
302,120.38,604.7,,110.7,69.97,126.3,0.8,1.9,144.4
317,133.06,636.6,,127.0,71.15,131.0,0.8,2.1,162.7
325,107.71,502.5,,104.9,71.79,134.6,0.7,1.7,133.0
335,100.72,455.5,,100.5,72.59,136.8,0.6,1.6,126.0
348,109.56,477.1,,112.7,73.61,142.7,0.7,1.8,139.2
373,120.80,490.3,,131.8,75.60,151.0,0.8,2.0,158.2
386,121.12,475.1,,136.1,76.62,153.9,0.8,2.1,161.0
402,120.83,455.6,,140.2,77.81,151.7,0.8,2.1,163.2
421,101.90,366.9,,120.1,78.87,154.7,0.7,1.8,137.7
456,150.50,500.4,,182.4,80.82,169.7,0.9,2.6,203.8
506,210.12,628.8,,266.2,83.62,194.7,1.2,3.7,286.9
552,471.35,"1,292.7",,642.5,85.95,385.8,1.8,8.7,672.4
567,771.41,"2,062.2",,"1,074.9",86.67,378.2,3.4,14.4,"1,115.1"
661,101.83,233.6,,148.2,90.10,218.7,0.6,1.9,147.6
682,103.18,229.1,,149.8,90.74,216.8,0.6,1.9,148.0
703,96.00,206.9,,139.3,91.29,219.5,0.6,1.8,136.8
794,195.87,373.6,,300.4,92.52,212.5,1.2,3.8,290.8
883,88.05,151.2,,142.3,93.71,209.4,0.6,1.8,135.9
936,101.63,164.5,,169.3,94.43,204.0,0.7,2.1,160.4
"1,005",118.28,178.3,,204.5,95.32,198.1,1.0,2.5,191.8
"1,244",60.25,73.4,,109.0,96.72,158.8,0.6,1.3,100.7
"1,476",72.37,74.3,,136.7,98.08,164.8,0.7,1.6,124.4
"1,621",59.57,55.7,,115.5,98.92,169.5,0.6,1.3,104.2
"1,708",92.51,82.0,,182.3,99.43,179.3,0.9,2.1,163.6
"1,904",82.41,65.6,,168.1,100.58,185.3,0.8,1.9,149.0
"1,999",134.53,102.0,,279.0,101.13,176.6,1.4,3.2,245.9
"2,478",90.71,55.5,,190.5,102.49,152.4,1.1,2.1,165.6
"2,915",104.58,54.4,,222.1,103.71,144.3,1.4,2.5,190.7
"3,687",48.65,20.0,,104.0,104.90,113.6,0.8,1.1,88.2
"4,302",50.79,17.9,,109.0,105.75,108.2,0.9,1.2,91.7
"5,780",43.21,11.3,,93.6,107.78,105.2,0.8,1.0,77.2
"6,364",97.60,23.2,,212.2,108.59,95.9,2.4,2.2,173.6
"8,474",23.83,4.3,,54.4,111.01,49.5,1.2,0.5,43.5
"10,380",75.00,10.9,Upper Marker,180.9,113.00,113.5,3.4,0.0,142.0
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.50,95.29,"7,820.4",72,503,37.7,"5,880.20","22,172.8",12930121
 
 
Sample Name,sample 3
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,35.7,43.00,87.5,0.8,0.0,81.1
555,935.60,"2,552.7",,980.8,86.09,202.3,12.5,80.3,"1,037.9"
707,229.99,492.8,,256.2,91.35,47.3,15.6,19.7,254.6
"10,380",75.00,10.9,Upper Marker,138.7,113.00,123.4,2.3,0.0,110.1
"11,769",0.00,0.0,,10.9,114.45,12.5,1.2,0.0,8.5
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.50,95.29,"1,191.8",97,580,16.7,"1,080.10","2,900.6",12930121
 
 
Sample Name,sample 4
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,31.6,43.00,74.9,0.9,0.0,72.6
555,"1,730.88","4,727.0",,622.3,86.07,122.6,12.8,84.5,670.9
727,315.29,656.8,,122.0,91.62,21.6,11.6,15.5,123.1
"10,380",75.00,10.9,Upper Marker,47.6,113.00,47.7,1.7,0.0,38.5
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.50,95.29,591.8,100,559,11.9,"1,540.53","4,232.8",12930121
 
 
Sample Name,sample 5
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
0,0.00,0.0,,285.2,85.80,115.7,6.2,0.0,332.4
0,0.00,0.0,,44.0,112.60,55.1,1.6,0.0,39.1
0,0.00,0.0,,2.3,117.25,5.7,0.7,0.0,2.0
0,0.00,0.0,,17.2,118.65,17.0,1.4,0.0,14.5
0,0.00,0.0,,33.1,120.05,31.1,1.4,0.0,27.6
0,0.00,0.0,,36.5,121.05,37.0,1.1,0.0,30.2
0,0.00,0.0,,40.0,122.25,42.4,1.0,0.0,32.7
0,0.00,0.0,,61.1,123.20,48.0,1.4,0.0,49.6
0,0.00,0.0,,61.3,124.00,48.0,1.4,0.0,49.5
0,0.00,0.0,,31.4,125.80,43.8,0.8,0.0,24.9
0,0.00,0.0,,41.5,127.70,42.7,1.0,0.0,32.5
0,0.00,0.0,,54.5,129.50,46.2,1.3,0.0,42.1
0,0.00,0.0,,32.3,130.05,45.7,0.8,0.0,24.8
0,0.00,0.0,,40.7,130.85,42.9,1.1,0.0,31.1
0,0.00,0.0,,45.4,132.60,31.3,2.0,0.0,34.2
0,0.00,0.0,,12.5,134.45,13.6,1.5,0.0,9.3
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
 
Overall Results:
Number of peaks found:,0,
Noise:,0.824999,
 
Sample Name,sample 6
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
16,0.00,0.0,,10.0,37.50,17.7,0.6,0.0,27.8
20,0.00,0.0,,15.4,38.66,19.2,0.8,0.0,41.2
24,0.00,0.0,,12.7,39.78,18.8,0.7,0.0,32.9
27,0.00,0.0,,15.7,40.71,18.9,0.8,0.0,39.8
31,0.00,0.0,,17.0,41.83,20.8,0.8,0.0,41.7
35,125.00,"5,411.3",Lower Marker,49.7,43.00,76.9,1.7,0.0,118.2
44,57.38,"1,979.0",,3.6,44.35,7.4,0.7,1.0,8.2
568,"3,195.29","8,520.2",,656.7,86.74,162.9,11.8,86.4,738.3
774,460.78,902.0,,102.7,92.25,28.4,7.9,12.6,108.2
"10,380",75.00,10.9,Upper Marker,26.5,113.00,35.9,1.2,0.0,22.7
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.50,95.29,242.2,60,563,2.6,"1,053.65","2,836.8",12930121
 
 
Sample Name,sample 7
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,60.6,43.00,139.5,1.1,0.0,146.3
497,5.35,16.3,,6.0,83.14,6.6,1.1,27.1,7.2
661,6.06,13.9,,7.9,90.11,8.2,1.1,32.7,8.7
782,3.94,7.6,,5.4,92.36,7.8,0.8,21.7,5.8
839,3.27,5.9,,4.6,93.12,5.4,1.0,18.5,4.9
"10,380",75.00,10.9,Upper Marker,162.2,113.00,116.9,3.2,0.0,141.4
"12,757",0.00,0.0,,6.2,115.48,12.6,0.7,0.0,5.3
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.50,95.29,88.5,73,598,30.0,64.10,196.8,12930121
 
 
Sample Name,sample 8
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
0,0.00,0.0,Lower Marker,56.6,41.05,134.5,1.0,0.0,137.9
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
 
Overall Results:
Number of peaks found:,0,
Noise:,1.170957,
 
Sample Name,Ladder
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,160.3,43.00,92.5,0.9,0.0,160.3
50,150.00,"4,545.5",Ladder Peak,210.2,45.27,109.1,1.2,0.0,210.2
100,150.00,"2,272.7",Ladder Peak,208.3,50.91,129.7,1.1,0.0,208.3
150,150.00,"1,515.2",Ladder Peak,221.3,55.75,155.1,1.4,0.0,221.3
200,150.00,"1,136.4",Ladder Peak,242.0,60.50,167.6,1.5,0.0,242.0
300,150.00,757.6,Ladder Peak,270.2,69.84,187.3,1.6,0.0,270.2
400,150.00,568.2,Ladder Peak,304.8,77.71,193.7,1.8,0.0,304.8
500,150.00,454.5,Ladder Peak,306.3,83.30,190.8,2.2,0.0,306.3
600,150.00,378.8,Ladder Peak,336.2,88.35,193.8,2.2,0.0,336.2
700,150.00,324.7,Ladder Peak,321.1,91.25,186.5,2.1,0.0,321.1
"1,000",150.00,227.3,Ladder Peak,365.8,95.29,180.1,3.0,0.0,365.8
"2,000",150.00,113.6,Ladder Peak,412.7,101.14,222.3,2.6,0.0,412.7
"3,000",150.00,75.8,Ladder Peak,411.4,103.96,226.7,2.9,0.0,411.4
"7,000",150.00,32.5,Ladder Peak,399.5,109.47,180.6,2.9,0.0,399.5
"10,380",75.00,10.9,Upper Marker,213.6,113.00,99.8,2.7,0.0,213.6
 
Overall Results:
Noise:,0.3016694,
